what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596348777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596348791
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596348811
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596348824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596348827
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596348841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596348881
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596348891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596351937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596361995
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596367312
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596387437
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596392623
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596392623
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1292596396015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596396220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596396233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596396250
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596396265
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596396269
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596396281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596396310
