what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596763217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596763251
error,log,,,"An error has occurred. See error log for more details.",1292596763255
error,log,,,"Error occurred during status handling",1292596763256
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766428
error,log,,,"An error has occurred. See error log for more details.",1292596766432
error,log,,,"Error occurred during status handling",1292596766433
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766487
error,log,,,"An error has occurred. See error log for more details.",1292596766490
error,log,,,"Error occurred during status handling",1292596766491
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766547
error,log,,,"An error has occurred. See error log for more details.",1292596766550
error,log,,,"Error occurred during status handling",1292596766551
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766598
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766642
error,log,,,"An error has occurred. See error log for more details.",1292596766645
error,log,,,"Error occurred during status handling",1292596766646
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766664
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766699
error,log,,,"An error has occurred. See error log for more details.",1292596766703
error,log,,,"Error occurred during status handling",1292596766710
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1292596766715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596766765
error,log,,,"An error has occurred. See error log for more details.",1292596766768
error,log,,,"Error occurred during status handling",1292596766769
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596777940
error,log,,,"Unhandled event loop exception",1292596777953
error,log,,,"Unhandled event loop exception",1292596779253
error,log,,,"Unhandled event loop exception",1292596779986
error,log,,,"Unhandled event loop exception",1292596781374
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596781543
error,log,,,"Unhandled event loop exception",1292596783964
error,log,,,"Unhandled event loop exception",1292596785545
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1292596785736
error,log,,,"Unhandled event loop exception",1292596788028
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292596790603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596790614
error,log,,,"Unhandled event loop exception",1292596790627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292596795969
error,log,,,"Unhandled event loop exception",1292596795975
error,log,,,"Unhandled event loop exception",1292597087877
error,log,,,"Unhandled event loop exception",1292597091132
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1292597093886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292597093927
error,log,,,"An error has occurred when activating this view",1292597093929
error,log,,,"Error occurred during status handling",1292597093929
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292597093932
error,log,,,"Unhandled event loop exception",1292597093934
error,log,,,"Unhandled event loop exception",1292597093960
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1292597093990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292597094003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292597094032
error,log,,,"An error has occurred when activating this view",1292597094034
error,log,,,"Error occurred during status handling",1292597094034
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1292597094036
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1292597095257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1292597095269
